Siswa;Pulsa Per Bulan
Siswa 1;135000
Siswa 2;50000
Siswa 3;20000
Siswa 4;60000
Siswa 5;150000
Siswa 6;200000
Siswa 7;100000
Siswa 8;150000
Siswa 9;50000
Siswa 10;100000
Siswa 11;25000
Siswa 12;50000
Siswa 13;38000
Siswa 14;30000
Siswa 15;50000
Siswa 16;50000
Siswa 17;30000
Siswa 18;200000
Siswa 19;50000
Siswa 20;30000
Siswa 21;40000
Siswa 22;25000
Siswa 23;32000
Siswa 24;66000
Siswa 25;150000
Siswa 26;40000
Siswa 27;50000
Siswa 28;125000
Siswa 29;25000
Siswa 30;70000
Siswa 31;30000
Siswa 32;35000
Siswa 33;50000
Siswa 34;40000
Siswa 35;66000
Siswa 36;40000
Siswa 37;100000
Siswa 38;50000
Siswa 39;0
Siswa 40;100000
Siswa 41;0
Siswa 42;75000
Siswa 43;30000


